Nb habitants,2 165 423,Classement
Age moyen,51 ans,Classement
Pop active,54.4%,Classement
Taux chômage,6.2%,Classement
Pop densité,20 623 h/km²,Classement
Revenu moyen,28 570 €/an,Classement
Agressions physiques / sexuelles,29 040
Cambriolages,9 668
Vols / dégradations,146 295
Ville,Habitants,Superficie,Pop densité,Pop active,Taux chômage,Revenu moyen,Prix immobilier,Note globale
Paris,2 165 423,105 km²,20 623 h/km²,54.4%,6.2%,28 570 €/an,10 271 €/m²,3.3
