|Champs|R1|R2|Moyenne|Variance|Intervalle95%
0|nbCasCovidConnuTotal|1271.0|1261.0|1266.0|50.0|(1202.4689763178394, 1329.5310236821606)
1|tauxDeMortCasConnu|1.4162077104642015|1.26883425852498|1.3425209844945907|0.010859467168240993|(0.40624235796734964, 2.2787996110218316)
2|tauxMortalitePopulationGobale|0.002758908208058464|0.002452362851607524|0.002605635529832994|4.698502778081694e-08|(0.000658121499798895, 0.004553149559867093)
3|tauxDeMort0-15ans|0.0|0.0|0.0|0.0|(nan, nan)
4|tauxDeMort15-25ans|0.0|0.0|0.0|0.0|(nan, nan)
5|tauxDeMort25-35ans|0.7518796992481203|0.0|0.37593984962406013|0.2826615410707219|(-4.400828848282742, 5.152708547530861)
6|tauxDeMort35-45ans|0.6060606060606061|0.7142857142857143|0.6601731601731602|0.005856337025168194|(-0.027392031192212896, 1.3477383515385333)
7|tauxDeMort45-55ans|0.5128205128205128|1.3605442176870748|0.9366823652537938|0.35931773989634497|(-4.448993111726843, 6.32235784223443)
8|tauxDeMort55-65ans|1.25|0.6896551724137931|0.9698275862068966|0.15699316290130794|(-2.590100464948647, 4.52975563736244)
9|tauxDeMort65-75ans|2.142857142857143|3.076923076923077|2.60989010989011|0.4362395845912332|(-3.324326387894112, 8.544106607674331)
10|tauxDeMort75+ans|8.928571428571429|6.4|7.664285714285715|3.196836734693877|(-8.39998741677486, 23.72855884534629)
11|nbRandomGenere|957470630.0|957471171.0|957470900.5|146340.5|(957467463.4716188, 957474337.5283812)
