|Champs|R1|R2|Moyenne|Variance|Intervalle95%
0|nbCasCovidConnuTotal|1746.0|1598.0|1672.0|10952.0|(731.7408495040249, 2612.259150495975)
1|tauxDeMortCasConnu|1.6036655211912942|1.6270337922403004|1.6153496567157974|0.0002730380459099103|(1.4668886385732418, 1.763810674858353)
2|tauxMortalitePopulationGobale|0.0013704597402978793|0.0012725697588480307|0.0013215147495729551|4.791224234125848e-09|(0.0006996096765992973, 0.001943419822546613)
3|tauxDeMort0-15ans|0.0|0.0|0.0|0.0|(nan, nan)
4|tauxDeMort15-25ans|0.49019607843137253|0.0|0.24509803921568626|0.12014609765474817|(-2.8691678275568857, 3.3593639059882583)
5|tauxDeMort25-35ans|0.0|0.0|0.0|0.0|(nan, nan)
6|tauxDeMort35-45ans|1.3392857142857142|0.45871559633027525|0.8990006553079948|0.38770186631802783|(-4.695351446454988, 6.493352757070977)
7|tauxDeMort45-55ans|0.8849557522123894|1.8779342723004695|1.3814450122564295|0.4930031706781568|(-4.927049175302818, 7.689939199815678)
8|tauxDeMort55-65ans|1.9230769230769231|1.507537688442211|1.7153073057595671|0.0863364277604012|(-0.9246559898849069, 4.355270601404041)
9|tauxDeMort65-75ans|3.1578947368421053|2.2346368715083798|2.6962658041752423|0.42620254295029386|(-3.1692859265505415, 8.561817534901026)
10|tauxDeMort75+ans|6.629834254143646|8.433734939759036|7.531784596951342|1.6270288417818368|(-3.9285811208583414, 18.992150314761027)
11|nbRandomGenere|2988159210.0|2988131949.0|2988145579.5|371581060.5|(2987972387.57634, 2988318771.42366)
